#each line of this file is the electricity trade-off from the first week of the 2017 to last week of 2019, last line is the mean value of all the previous line
ALB,AUT,BIH,BEL,BGR,BLR,CHE,CZE,DEU,DNK,EST,ESP,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MDA,MNE,MKD,MLT,NLD,NOR,POL,PRT,ROU,SRB,RUS,SWE,SVN,SVK,TUR,UKR
-73.2,-810,543,-2090,1140,21.8,1270,1210,4470,-461,176,-3040,-2200,9900,-1910,-906,-722,-2280,145,-4620,-1060,-462,-380,-129,-15.1,-209,-50.7,-2160,-582,-1120,704,46.2,279,1370,3770,-162,-598,313,676
-33.6,-179,710,-1830,1140,15.3,2050,1260,4560,-2160,205,-3310,-1920,8060,-2180,-946,-738,-1720,217,-4920,-1050,-462,-379,-119,-47.0,-192,-33.6,-1980,181,-519,932,284,253,1440,3230,-129,-629,220,720
17.3,-686,688,-2200,1120,28.1,2490,1440,5760,-1290,258,-3230,-1940,7120,-2680,-1140,-929,-1270,74.8,-5720,-1040,-482,-278,-119,-84.9,-205,-20.8,-1280,1030,-324,949,605,200,981,1730,90.9,-562,148,768
-1.43,-1250,455,-1870,1200,80.1,2080,1380,5970,-1280,215,-3060,-2130,7220,-2800,-1080,-1100,-1180,142,-5820,-1160,-484,-255,-130,-62.2,-217,-36.7,-317,1440,-171,568,647,303,861,1340,118,-443,39.3,789
-133,-1650,657,-1880,1310,25.3,2040,1770,4500,-1520,367,-3400,-2250,9270,-3020,-1290,-1140,-1130,138,-5380,-1100,-486,-340,-129,-68.2,-244,-68.5,-979,1260,-161,935,459,86.0,933,1610,56.7,-14.9,204,767
-114,-1510,556,-1470,1290,-54.0,2190,2000,3910,-1450,321,-3060,-2120,8250,-2260,-1250,-951,-1160,89.6,-5390,-1140,-491,-232,-131,-36.9,-243,-90.8,-1590,1590,-89.6,964,600,49.5,1070,1270,19.4,-26.1,166,529
-68.4,-2330,605,-1210,1350,-95.1,2980,1600,4570,-1510,272,-2260,-2500,6260,-2620,-784,-1040,-1460,114,-4110,-1180,-471,-149,-131,-67.1,-146,-64.8,-993,1820,-525,139,792,-65.7,1620,1180,50.0,-207,-55.6,686
-65.9,-2350,450,-1530,1480,-127,1710,1020,5420,-1210,234,-2550,-2410,6730,-2390,-571,-1180,-1570,178,-3510,-1080,-428,-348,-132,-123,-98.5,-43.8,-1050,1120,-368,598,500,-241,1790,1820,13.2,-286,-86.2,682
-97.8,-2210,442,-1680,1440,-1.05,1090,1560,3560,-1360,446,-1960,-2510,7820,-2660,-529,-1020,-1870,72.9,-2960,-1030,-418,-235,-133,-117,-107,-76.9,-1410,2100,-233,68.6,414,-242,1810,1700,55.9,-316,72.1,521
-92.8,-2040,558,-2690,1330,93.6,1180,1720,5930,-1200,503,-1410,-2290,2780,-2130,-554,-1080,-1670,47.9,-2830,-964,-464,-155,-139,-64.0,-205,-91.0,83.2,2690,-404,431,398,-372,2000,655,56.8,-357,217,526
-134,-1790,547,-2900,1290,228,519,1960,6980,-1580,493,-1930,-2270,3740,-2110,-571,-909,-1550,85.8,-4080,-1060,-459,-58.3,-145,-124,-96.0,-55.6,27.3,2670,-247,810,330,-390,2080,-425,406,-185,208,689
-109,-1210,505,-3210,1420,213,-5.48,1990,4290,-1390,482,-1710,-2250,7160,-1480,-405,-999,-1420,38.1,-3900,-1150,-481,-69.4,-126,-42.1,-95.2,-64.3,-616,3030,-490,-13.3,307,-279,1850,58.3,414,-302,-170,545
-93.5,-2020,441,-3300,1270,137,-630,2080,4270,-565,414,-1820,-2300,8890,-1450,-493,-1040,-1230,8.63,-4230,-1060,-483,-285,-112,-63.3,-134,-70.4,-846,2640,-906,209,354,-200,1790,1110,-43.5,-751,-26.7,545
-78.2,-2350,310,-2720,848,138,-1020,1870,6260,-224,124,-2260,-2150,8020,-1760,-397,-1050,-1100,-6.76,-4060,-978,-480,-327,-116,-62.3,-112,-60.9,-864,1120,-900,475,53.5,-256,1540,2440,-229,-660,200,817
-96.2,-2160,59.7,-2670,892,174,-1090,2650,6300,62.3,-24.9,-1570,-2090,6610,-2540,-474,-944,-1350,-56.2,-4220,-907,-481,-332,-123,-47.6,-156,-108,-79.2,979,-391,-73.6,344,-219,1470,2200,88.0,-614,111,883
-147,-1620,72.2,-2170,851,274,-1700,1470,7650,-652,306,-645,-2290,6450,-2160,-298,-943,-1360,-77.0,-5740,-1050,-495,-333,-131,-18.9,-150,-28.6,171,2780,-388,-331,160,-247,1510,1020,92.5,-787,222,727
-433,-2570,168,-2140,869,193,-2350,2350,6590,-482,-4.73,-139,-2110,7110,-1970,-207,-1000,-1130,203,-6000,-1100,-486,-182,-137,-21.1,-153,-35.1,108,2650,-924,-474,363,-206,1420,1810,-49.0,-776,298,931
-449,-2690,262,-3450,902,312,-2470,2.74,4830,-1010,128,32.6,-2210,8750,-1910,-240,-1010,-1130,-114,-5950,-1200,-502,-253,-134,-25.4,-147,-47.1,607,3020,-662,-186,98.3,-193,1450,2490,84.8,-817,388,708
-516,-1370,343,-2500,1110,203,-2730,1710,7600,238,17.1,159,-2390,5520,-1700,-441,-706,-1580,-93.0,-4620,-1100,-495,-484,-146,-53.8,-163,-66.2,135,1200,-446,-243,302,-371,1450,2130,91.9,-846,140,681
-461,-413,417,-2080,1330,357,-1660,1740,5600,-135,193,-240,-2090,2050,-1590,-637,-440,-1550,-61.5,-2990,-1050,-470,-465,-119,-62.0,-262,-76.4,105,1160,-421,28.3,-223,-219,1620,1990,688,-394,45.9,775
